date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-02-14",nation,W92000004,Wales,
"2020-02-13",nation,W92000004,Wales,
"2020-02-12",nation,W92000004,Wales,
"2020-02-11",nation,W92000004,Wales,
"2020-02-10",nation,W92000004,Wales,
"2020-02-09",nation,W92000004,Wales,
"2020-02-08",nation,W92000004,Wales,
"2020-02-07",nation,W92000004,Wales,
"2020-02-06",nation,W92000004,Wales,
"2020-02-05",nation,W92000004,Wales,
"2020-02-04",nation,W92000004,Wales,
"2020-02-03",nation,W92000004,Wales,
"2020-02-02",nation,W92000004,Wales,
"2020-02-01",nation,W92000004,Wales,
"2020-01-31",nation,W92000004,Wales,
"2020-01-30",nation,W92000004,Wales,
"2020-01-29",nation,W92000004,Wales,
"2020-01-28",nation,W92000004,Wales,
"2020-01-27",nation,W92000004,Wales,
"2020-01-26",nation,W92000004,Wales,
"2020-01-25",nation,W92000004,Wales,
"2020-01-24",nation,W92000004,Wales,
"2020-01-23",nation,W92000004,Wales,
"2020-01-22",nation,W92000004,Wales,
"2020-01-21",nation,W92000004,Wales,
"2020-01-20",nation,W92000004,Wales,
"2020-01-19",nation,W92000004,Wales,
"2020-01-18",nation,W92000004,Wales,
"2020-01-17",nation,W92000004,Wales,
"2020-01-16",nation,W92000004,Wales,
"2020-01-15",nation,W92000004,Wales,
"2020-01-14",nation,W92000004,Wales,
"2020-01-13",nation,W92000004,Wales,
"2020-01-12",nation,W92000004,Wales,
"2020-01-11",nation,W92000004,Wales,
"2020-01-10",nation,W92000004,Wales,
"2020-01-09",nation,W92000004,Wales,
"2020-01-08",nation,W92000004,Wales,
"2020-01-07",nation,W92000004,Wales,
"2020-01-06",nation,W92000004,Wales,
"2020-01-05",nation,W92000004,Wales,
"2020-01-04",nation,W92000004,Wales,
"2020-01-03",nation,W92000004,Wales,
