date,areaType,areaCode,areaName,newDeaths28DaysByDeathDateRate
"2020-07-04",overview,K02000001,United Kingdom,0
"2020-07-03",overview,K02000001,United Kingdom,0
"2020-07-02",overview,K02000001,United Kingdom,0.1
"2020-07-01",overview,K02000001,United Kingdom,0
"2020-06-30",overview,K02000001,United Kingdom,0.1
"2020-06-29",overview,K02000001,United Kingdom,0.1
"2020-06-28",overview,K02000001,United Kingdom,0.1
"2020-06-27",overview,K02000001,United Kingdom,0.1
"2020-06-26",overview,K02000001,United Kingdom,0.1
"2020-06-25",overview,K02000001,United Kingdom,0.1
"2020-06-24",overview,K02000001,United Kingdom,0.1
"2020-06-23",overview,K02000001,United Kingdom,0.1
"2020-06-22",overview,K02000001,United Kingdom,0.1
"2020-06-21",overview,K02000001,United Kingdom,0.1
"2020-06-20",overview,K02000001,United Kingdom,0.1
"2020-06-19",overview,K02000001,United Kingdom,0.1
"2020-06-18",overview,K02000001,United Kingdom,0.1
"2020-06-17",overview,K02000001,United Kingdom,0.1
"2020-06-16",overview,K02000001,United Kingdom,0.1
"2020-06-15",overview,K02000001,United Kingdom,0.1
"2020-06-14",overview,K02000001,United Kingdom,0.1
"2020-06-13",overview,K02000001,United Kingdom,0.1
"2020-06-12",overview,K02000001,United Kingdom,0.1
"2020-06-11",overview,K02000001,United Kingdom,0.1
"2020-06-10",overview,K02000001,United Kingdom,0.2
"2020-06-09",overview,K02000001,United Kingdom,0.1
"2020-06-08",overview,K02000001,United Kingdom,0.2
"2020-06-07",overview,K02000001,United Kingdom,0.2
"2020-06-06",overview,K02000001,United Kingdom,0.2
"2020-06-05",overview,K02000001,United Kingdom,0.2
"2020-06-04",overview,K02000001,United Kingdom,0.2
"2020-06-03",overview,K02000001,United Kingdom,0.2
"2020-06-02",overview,K02000001,United Kingdom,0.3
"2020-06-01",overview,K02000001,United Kingdom,0.2
"2020-05-31",overview,K02000001,United Kingdom,0.2
"2020-05-30",overview,K02000001,United Kingdom,0.2
"2020-05-29",overview,K02000001,United Kingdom,0.3
"2020-05-28",overview,K02000001,United Kingdom,0.3
"2020-05-27",overview,K02000001,United Kingdom,0.3
"2020-05-26",overview,K02000001,United Kingdom,0.3
"2020-05-25",overview,K02000001,United Kingdom,0.3
"2020-05-24",overview,K02000001,United Kingdom,0.3
"2020-05-23",overview,K02000001,United Kingdom,0.3
"2020-05-22",overview,K02000001,United Kingdom,0.3
